1.000,0.923,0.914,1,0.000010
1.000,0.931,0.926,1,0.000010
1.000,0.931,0.928,7,0.000010
1.000,0.937,0.929,3,0.000010
1.000,0.936,0.930,3,0.000010
1.000,0.936,0.932,3,0.000010
1.000,0.934,0.929,1,0.000010
1.000,0.935,0.932,3,0.000010
1.000,0.935,0.932,1,0.000010
1.000,0.938,0.934,3,0.000010
1.000,0.939,0.934,20,0.000010
1.000,0.938,0.934,3,0.000010
1.000,0.940,0.934,3,0.000010
1.000,0.939,0.934,3,0.000010
1.000,0.938,0.934,20,0.000010
1.000,0.937,0.933,3,0.000010
1.000,0.937,0.934,3,0.000010
1.000,0.939,0.934,3,0.000010
1.000,0.939,0.934,3,0.000010
1.000,0.934,0.929,35,0.000010
1.000,0.940,0.935,3,0.000010
1.000,0.940,0.936,3,0.000010
1.000,0.938,0.933,3,0.000010
1.000,0.936,0.936,3,0.000010
1.000,0.939,0.933,3,0.000010
